Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
iOS AT&T iPhone 14,,B1,,,310,410,6404,19648380,15,,10,-92,-6,,405,86.9,25,,A8:53:7D:21:E9:D4,5,153,,,,165,170,7
iOS AT&T iPhone 14,,B2,,,310,410,6404,19648380,15,,10,-80,-6,,422,78.7,25,,A8:53:7D:22:04:4B,5,36,,,,136,200,8
iOS AT&T iPhone 14,,B3,,,310,410,6404,19648380,15,,10,-78,-6,,365,61.3,17,,A8:53:7D:21:E9:D4,5,153,,,,17.5,16.4,11
iOS AT&T iPhone 14,,B4,,,310,410,6404,19648380,15,,10,-72,-7,,363,63.9,27,,A8:53:7D:21:E9:D4,5,153,,,,37.2,68.7,10
iOS AT&T iPhone 14,,B5,,,310,410,6404,1964879,16,,10,-81,-7,,365,43,20,,A8:53:7D:22:03:B4,5,153,,,,90.4,106,8
iOS AT&T iPhone 14,,B6,,,310,410,6404,,16,,10,-77,-6,,338,64.1,23,,A8:53:7D:22:0F:BB,5,48,,,,147,175,28
iOS AT&T iPhone 14,,B7,,,310,410,6404,19648381,16,,10,-83,-6,,289,94.4,20,,A8:53:7D:21:FD:5A,5,161,,,,78.2,83.7,26
iOS AT&T iPhone 14,,B8,,,310,410,6404,19648381,16,,10,-82,-9,,349,64,26,,A8:53:7D:22:03:B4,5,153,,,,51.8,120,8
iOS AT&T iPhone 14,,B9,,,310,410,6404,,23,,,-81,-7,,342,71,27,,A8:53:7D:22:02:0A,5,149,,,,105,101,6
iOS AT&T iPhone 14,,B10,,,310,410,6404,19648382,23,,20,-87,-6,,289,80.2,26,,A8:53:7D:22:04:14,5,153,,,,67,112,7
iOS AT&T iPhone 14,,B11,,,310,410,6404,19664880,23,,10,-84,-6,,271,77.9,17,,A8:53:7D:22:0F:2A,5,48,,,,45.7,17.4,23
iOS AT&T iPhone 14,,B12,,,310,410,6404,,23,,,-85,-6,,329,43.9,18,,A8:53:7D:22:07:DA,5,36,,,,132,111,10
iOS AT&T iPhone 14,,B13,,,310,410,6404,19648382,23,,20,-86,-12,,348,88.5,23,,A8:53:7D:22:0F:2A,5,48,,,,91.2,59,6
iOS AT&T iPhone 14,,"B14,15",,,310,410,6404,,23,,,-67,-12,,435,95.2,17,,A8:53:7D:22:0F:2A,5,48,,,,67.8,54.2,10
iOS AT&T iPhone 14,,,,,,,,,,,,,,,,,,,,,,,,,,,
