RSSI,Wi-Fi Ookla UL,RSRP,Gate / Landmark,RxPhy,TA,Time,MNC,BSSID,Device/OS,Cellular Ookla UL,Cellular Ookla RTT,CID,Cellular Ookla DL,Lat,dataset,TxPhy,PCI,Wi-Fi Ookla DL,Wi-Fi Ookla RTT,SSID,MCC,TAC,EARFCN,Channel,Long,Band,BW ,RSRQ
,,,D28,,,,,,Android AT&T Pixel 8 Pro,,,,,,d-concourse-android,,,,,Helium,,,,,,,,
-71.0,164.0,-99.0,D29,154.0,21.0,,410.0,A8:53:7D:22:14:FB,Android AT&T Pixel 8 Pro,17.5,22.0,18292.0,67.5,,d-concourse-android,195.0,97.0,134.0,7.0,Helium,310.0,6404.0,850.0,153.0,,5.0,20.0,-12.0
,,,D30,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D31,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D32,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D33,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D34,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D35,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
-56.0,170.0,-83.0,D36,229.0,13.0,,410.0,A8:53:7D:22:17:CC,Android AT&T Pixel 8 Pro,12.1,29.0,19494.0,185.0,,d-concourse-android,206.0,229.0,177.0,8.0,Helium,310.0,6404.0,66486.0,157.0,,5.0,10.0,-6.0
-62.0,138.0,-91.0,D37,172.0,14.0,,410.0,A8:53:7D:22:17:CC,Android AT&T Pixel 8 Pro,12.9,28.0,19494.0,95.1,,d-concourse-android,172.0,229.0,142.0,7.0,Helium,310.0,6404.0,66486.0,157.0,,5.0,10.0,-7.0
-74.0,64.0,-97.0,"D38,39,40",103.0,33.0,,410.0,A8:53:7D:22:17:CC,Android AT&T Pixel 8 Pro,24.0,24.0,18407.0,429.0,,d-concourse-android,130.0,105.0,61.7,7.0,Helium,310.0,6404.0,66486.0,157.0,,5.0,10.0,-10.0
,,,D41,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D42,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D43,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D44,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D45,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D46,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,,,D47,,,,,,Android AT&T Pixel 8 Pro,,,,,cant go,d-concourse-android,,,,,Helium,,,,,,,,
,120.4,,,,,,,,,11.852,29.4,,112.636,,d-concourse-android,,,115.8,8.88,,,,,,,,,
