RxPhy,RSSI,Time,MCC,Wi-Fi Ookla UL,Lat,BW ,BSSID,MNC,Long,RSRQ,dataset,Wi-Fi Ookla RTT,EARFCN,PCI,Device/OS,Wi-Fi Ookla DL,Cellular Ookla UL,RSRP,Cellular Ookla RTT,TxPhy,Channel,SSID,TAC,CID,Band,TA,Cellular Ookla DL,Gate / Landmark
,,,310.0,,,,,260.0,,-9.0,B Concourse-iOS-17-ppoff,,n41 -15 rsrq,,iOS AT&T iPhone 17,,0.2,-98.0,58.0,,,,20422.0,,,,46.8,B2
,,,310.0,,,,,260.0,,-10.0,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,0.05,-101.0,51.0,,,,20422.0,,,,10.5,B3
,,,310.0,,,,,260.0,,-10.0,B Concourse-iOS-17-ppoff,,,,iOS AT&T iPhone 17,,0.01,-96.0,40.0,,,,20422.0,,,,12.5,B4
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,4.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307267.0,,,,B5
,,,310.0,,,,,260.0,,-10.0,B Concourse-iOS-17-ppoff,,n41 -15 rsrq,232.0,iOS AT&T iPhone 17,,0.02,-87.0,99.0,,,,20422.0,15307267.0,,,17.7,B6
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B7
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B8
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B9
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B10
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B11
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B12
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B13
,,,310.0,,,,,260.0,,,B Concourse-iOS-17-ppoff,,,232.0,iOS AT&T iPhone 17,,,,,,,,20422.0,15307277.0,,,,B14/15
,,,310.0,189.0,,,A8:53:7D:21:E9:D4,260.0,,-9.0,B Concourse-iOS-17,9.0,,232.0,iOS AT&T iPhone 17,189.0,0.48,-85.0,59.0,,153.0,,20422.0,,5.0,,31.7,B1
,,,310.0,205.0,,,A8:53:7D:22:04:4B,260.0,,,B Concourse-iOS-17,8.0,,,iOS AT&T iPhone 17,191.0,0.61,,50.0,,36.0,,20422.0,,5.0,,24.1,B2
,,,310.0,49.6,,,A8:53:7D:21:E9:D4,260.0,,-9.0,B Concourse-iOS-17,11.0,,232.0,iOS AT&T iPhone 17,69.9,1.14,-97.0,66.0,,153.0,,20422.0,,5.0,,39.2,B3
,,,310.0,104.0,,,A8:53:7D:21:E9:D4,260.0,,,B Concourse-iOS-17,9.0,,,iOS AT&T iPhone 17,89.8,0.72,,52.0,,153.0,,20422.0,,5.0,,25.3,B4
,,,310.0,126.0,,,A8:53:7D:22:03:B4,260.0,,-9.0,B Concourse-iOS-17,34.0,,4.0,iOS AT&T iPhone 17,147.0,13.8,-93.0,39.0,,153.0,,20422.0,15307267.0,5.0,,62.0,B5
,,,310.0,207.0,,,A8:53:7D:22:0F:BB,260.0,,-10.0,B Concourse-iOS-17,8.0,,4.0,iOS AT&T iPhone 17,174.0,13.0,-93.0,48.0,,48.0,,20422.0,15307267.0,5.0,,62.9,B6
,,,310.0,131.0,,,D4:20:B0:71:98:C2,260.0,,-10.0,B Concourse-iOS-17,7.0,,232.0,iOS AT&T iPhone 17,117.0,0.23,-79.0,107.0,,161.0,,20422.0,15307277.0,5.0,,18.2,B7
